level,number,is_handicapped,commentaire
1,1,True,Place handicapée
1,2,False,
1,3,False,
1,4,False,
1,5,False,
1,6,False,
1,7,False,
1,8,False,
1,9,False,
1,10,False,
1,11,False,
1,12,False,
1,13,False,
1,14,False,
1,15,False,
1,16,False,
1,17,False,
1,18,False,
1,19,False,
1,20,False,
1,21,False,
1,22,False,
1,23,False,
1,24,False,
1,25,False,
1,26,False,
1,27,False,
1,28,False,
1,29,False,
1,30,False,
1,31,False,
1,32,False,
1,33,False,
1,34,False,
1,35,False,
1,36,False,
1,37,False,
1,38,False,
1,39,False,
1,40,False,
1,41,False,
1,42,False,
1,43,False,
1,44,False,
1,45,False,
1,46,False,
1,47,False,
1,48,False,
2,1,True,Place handicapée
2,2,False,
2,3,False,
2,4,False,
2,5,False,
2,6,False,
2,7,False,
2,8,False,
2,9,False,
2,10,False,
2,11,False,
2,12,False,
2,13,False,
2,14,False,
2,15,False,
2,16,False,
2,17,False,
2,18,False,
2,19,False,
2,20,False,
2,21,False,
2,22,False,
2,23,False,
2,24,False,
2,25,False,
2,26,False,
2,27,False,
2,28,False,
2,29,False,
2,30,False,
2,31,False,
2,32,False,
2,33,False,
2,34,False,
2,35,False,
2,36,False,
2,37,False,
2,38,False,
2,39,False,
2,40,False,
2,41,False,
2,42,False,
2,43,False,
2,44,False,
2,45,False,
2,46,False,
2,47,False,
2,48,False,
3,1,True,Place handicapée
3,2,False,
3,3,False,
3,4,False,
3,5,False,
3,6,False,
3,7,False,
3,8,False,
3,9,False,
3,10,False,
3,11,False,
3,12,False,
3,13,False,
3,14,False,
3,15,False,
3,16,False,
3,17,False,
3,18,False,
3,19,False,
3,20,False,
3,21,False,
3,22,False,
3,23,False,
3,24,False,
3,25,False,
3,26,False,
3,27,False,
3,28,False,
3,29,False,
3,30,False,
3,31,False,
3,32,False,
3,33,False,
3,34,False,
3,35,False,
3,36,False,
3,37,False,
3,38,False,
3,39,False,
3,40,False,
3,41,False,
3,42,False,
3,43,False,
3,44,False,
3,45,False,
3,46,False,
3,47,False,
3,48,False,
4,1,True,Place handicapée
4,2,False,
4,3,False,
4,4,False,
4,5,False,
4,6,False,
4,7,False,
4,8,False,
4,9,False,
4,10,False,
4,11,False,
4,12,False,
4,13,False,
4,14,False,
4,15,False,
4,16,False,
4,17,False,
4,18,False,
4,19,False,
4,20,False,
4,21,False,
4,22,False,
4,23,False,
4,24,False,
4,25,False,
4,26,False,
4,27,False,
4,28,False,
4,29,False,
4,30,False,
4,31,False,
4,32,False,
4,33,False,
4,34,False,
4,35,False,
4,36,False,
4,37,False,
4,38,False,
4,39,False,
4,40,False,
4,41,False,
4,42,False,
4,43,False,
4,44,False,
4,45,False,
4,46,False,
4,47,False,
4,48,False
